Country,Locality,Latitude,Longitude,Microhabitat,CpipComplexIDMethod,Fig3A_PieShown,N,N_mm,N_pp,N_pm,Freq_mm,Freq_pp,Freq_pm,Freq_m,Freq_p,F_IS,PooledByAuthors,Reference,DOI_link,1stAuthor,Year
Italy,"Ravenna, Ravenna Province",44.42,12.20,aboveground,adult morphology + ACE,,20,3,14,3,0.15,0.70,0.15,0.23,0.78,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Sala di Cesenatico, Forlì-Cesena Province",44.16,12.39,aboveground,adult morphology + ACE,,16,0,15,1,0.00,0.94,0.06,0.03,0.97,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Villa Verrucchio, Rimini Province",44.01,12.44,aboveground,adult morphology + ACE,,20,5,14,1,0.25,0.70,0.05,0.28,0.73,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Borgo a Buggiano, Pistoia Province",43.88,10.73,aboveground,adult morphology + ACE,X,38,2,33,3,0.05,0.87,0.08,0.09,0.91,0.528,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Galleno, Florence Province",43.78,10.72,aboveground,adult morphology + ACE,,10,0,8,2,0.00,0.80,0.20,0.10,0.90,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Castiglion del Lago, Perugia Province",43.13,12.05,aboveground,adult morphology + ACE,,20,1,18,1,0.05,0.90,0.05,0.08,0.93,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Principina, Grosseto Province",42.72,11.04,aboveground,adult morphology + ACE,,6,0,5,1,0.00,0.83,0.17,0.08,0.92,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"PeriNarni, Terni Province",42.53,12.51,aboveground,adult morphology + ACE,,20,4,11,5,0.20,0.55,0.25,0.33,0.68,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Avezzano, L'Aquila Province",42.03,13.43,aboveground,adult morphology + ACE,,14,3,9,2,0.21,0.64,0.14,0.29,0.71,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Guidonia, Rome Province",42.00,12.73,aboveground,adult morphology + ACE,,14,6,4,4,0.43,0.29,0.29,0.57,0.43,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Natural sites, Rome-Insugherata Park, Rome Province",41.96,12.43,aboveground,adult morphology + ACE,,16,2,12,2,0.13,0.75,0.13,0.19,0.81,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Castel di Guido, Rome Province",41.90,12.28,aboveground,adult morphology + ACE,,20,3,14,3,0.15,0.70,0.15,0.23,0.78,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Rome-Verano, Rome Province",41.90,12.53,aboveground,adult morphology + ACE,X,32,7,20,5,0.22,0.63,0.16,0.30,0.70,0.626,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Rome-Aurelio, Rome Province",41.90,12.41,aboveground,adult morphology + ACE,,20,16,3,1,0.80,0.15,0.05,0.83,0.18,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Rome-Caffarella Park, Rome Province",41.86,12.52,aboveground,adult morphology + ACE,,10,0,7,3,0.00,0.70,0.30,0.15,0.85,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Rome-Magliana, Rome Province",41.82,12.39,aboveground,adult morphology + ACE,,20,3,11,6,0.15,0.55,0.30,0.30,0.70,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Frascati, Rome Province",41.81,12.68,aboveground,adult morphology + ACE,,19,10,6,3,0.53,0.32,0.16,0.61,0.39,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Anagni, Frosinone Province",41.75,13.15,aboveground,adult morphology + ACE,,16,2,14,0,0.13,0.88,0.00,0.13,0.88,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Manfredonia, Foggia Province",41.63,15.91,aboveground,adult morphology + ACE,,12,7,5,0,0.58,0.42,0.00,0.58,0.42,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Lago di Fogliano, Latina Province",41.40,12.91,aboveground,adult morphology + ACE,,17,3,13,1,0.18,0.76,0.06,0.21,0.79,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Terracina, Latina Province",41.29,13.25,aboveground,adult morphology + ACE,,18,8,4,6,0.44,0.22,0.33,0.61,0.39,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"PeriLa Maddalena, Sassari Province",41.23,9.42,aboveground,adult morphology + ACE,,8,0,7,1,0.00,0.88,0.13,0.06,0.94,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Matera, Matera Province",40.66,16.60,aboveground,adult morphology + ACE,,15,1,9,5,0.07,0.60,0.33,0.23,0.77,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Scalea, Cosenza Province",39.81,15.79,aboveground,adult morphology + ACE,,6,1,5,0,0.17,0.83,0.00,0.17,0.83,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Rende, Cosenza Province",39.33,16.18,aboveground,adult morphology + ACE,,12,1,11,0,0.08,0.92,0.00,0.08,0.92,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,"Zafferana, Catania Province",37.66,15.12,aboveground,adult morphology + ACE,X,47,0,46,1,0.00,0.98,0.02,0.01,0.99,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Italy,Piedmont,44.90,8.62,aboveground,adult morphology + ACE + COI ,,12,0,9,3,0.00,0.75,0.25,0.02,0.99,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
Lybia,Tripoli,32.89,13.24,aboveground,adult morphology,X,146,51,74,20,0.35,0.51,0.14,0.42,0.58,,yes across sites,S22,https://www.dipterajournal.com/archives/2019/6/6/A/6-5-1,Aqeehal,2019
Morocco,"Urban sites, Tanger",35.78,-5.85,aboveground,larval morphology,,23,2,16,5,0.09,0.70,0.22,0.20,0.80,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,"Suburban sites, Tanger",35.78,-5.85,aboveground,larval morphology,,23,8,12,3,0.35,0.52,0.13,0.41,0.59,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,"Rural sites, Tanger",35.78,-5.85,aboveground,larval morphology,,24,2,15,7,0.08,0.63,0.29,0.23,0.77,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,"Urban sites, Mohammedia",33.67,-7.45,aboveground,larval morphology,,29,5,9,15,0.17,0.31,0.52,0.43,0.57,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,"Suburban sites, Mohammedia",33.67,-7.45,aboveground,larval morphology,,28,5,15,8,0.18,0.54,0.29,0.32,0.68,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,"Suburban sites, Marrakech",31.64,-8.17,aboveground,larval morphology,,23,2,14,7,0.09,0.61,0.30,0.24,0.76,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,"Rural sites, Marrakech",31.64,-8.17,aboveground,larval morphology,,23,1,18,4,0.04,0.78,0.17,0.13,0.87,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,Tanger,35.78,-5.85,aboveground,larval morphology,X,58,1,38,19,0.02,0.66,0.33,0.18,0.82,-0.105,no,S1,10.1002/ps.6127,Arich,2021
Morocco,Larache,35.18,-6.13,aboveground,larval morphology,X,60,40,25,31,0.67,0.42,0.52,0.93,0.68,0.338,no,S1,10.1002/ps.6127,Arich,2021
Morocco,Mohammedia,33.67,-7.45,aboveground,larval morphology,X,58,7,27,24,0.12,0.47,0.41,0.33,0.67,0.061,no,S1,10.1002/ps.6127,Arich,2021
Morocco,Marrakech,31.64,-8.17,aboveground,larval morphology,X,60,10,18,32,0.17,0.30,0.53,0.43,0.57,-0.086,no,S1,10.1002/ps.6127,Arich,2021
Morocco,Agadir,30.36,-9.49,aboveground,larval morphology,X,57,9,11,37,0.16,0.19,0.65,0.48,0.52,-0.300,no,S1,10.1002/ps.6127,Arich,2021
Portugal,Comporta,38.38,-8.78,aboveground,adult morphology + ACE + 14 microsats,,145,78,41,26,0.54,0.28,0.18,0.63,0.37,,yes across sites,S7,10.1186/1471-2148-9-262,Gomes,2009
Portugal,Comporta,38.38,-8.78,aboveground,adult morphology + ACE + 14 microsats,X,291,49,207,34,0.17,0.71,0.12,0.23,0.77,,yes across sites,S9,10.1186/1756-3305-6-93,Gomes,2013
Portugal,Montemor-o-Novo,38.65,-8.19,aboveground,adult morphology + ACE,,7,0,6,1,0.00,0.86,0.14,0.07,0.93,,yes across years,S6,10.1111/mve.12020,Osório,2014
Portugal,Mourao,38.34,-7.37,aboveground,adult morphology + ACE,,6,0,4,2,0.00,0.67,0.33,0.17,0.83,,yes across years,S6,10.1111/mve.12020,Osório,2014
Portugal,Portimao,38.15,-8.62,aboveground,adult morphology + ACE,,6,1,4,1,0.17,0.67,0.17,0.25,0.75,,yes across years,S6,10.1111/mve.12020,Osório,2014
Portugal,Ferreira do Alentejo,38.12,-8.17,aboveground,adult morphology + ACE,,5,3,0,2,0.60,0.00,0.40,0.80,0.20,,yes across years,S6,10.1111/mve.12020,Osório,2014
Portugal,Beja,38.04,-7.87,aboveground,adult morphology + ACE,,6,2,3,1,0.33,0.50,0.17,0.42,0.58,,yes across years,S6,10.1111/mve.12020,Osório,2014
Portugal,Albufeira,37.10,-8.33,aboveground,adult morphology + ACE,,6,0,5,1,0.00,0.83,0.17,0.08,0.92,,yes across years,S6,10.1111/mve.12020,Osório,2014
Portugal,Madeira Island,32.76,-16.96,aboveground,adult morphology + ACE,,13,9,0,4,0.69,0.00,0.31,0.85,0.15,,no,S21,10.4269/ajtmh.2006.75.2.0750251,Bahnck,2006
Romania,"Urban sites, Bucharest city",44.44,26.07,aboveground,adult morphology,X,172,78,79,15,0.45,0.46,0.09,0.50,0.50,,yes across sites and years,S24,10.1089/vbz.2020.2739,Tiron,2021
