Country,Locality,Latitude,Longitude,Microhabitat,CpipComplexIDMethod,Fig3A_PieShown,N,N_mm,N_pp,N_pm,Freq_mm,Freq_pp,Freq_pm,Freq_m,Freq_p,F_IS,PooledByAuthors,Reference,DOI_link,1stAuthor,Year
Italy,Rome-Forlanini,41.87,12.45,belowground,adult morphology + ACE,,10,9,0,1,0.90,0.00,0.10,0.95,0.05,,no,S19,10.1371/journal.pone.0146476,Di Luca,2016
Morocco,"Urban sites, Mohammedia",33.67,-7.45,belowground,larval morphology,X,32,19,8,5,0.59,0.25,0.16,0.67,0.33,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Morocco,"Rural sites, Marrakech",31.64,-8.17,belowground,larval morphology,X,9,3,5,1,0.33,0.56,0.11,0.39,0.61,,no,S8,10.1186/1756-3305-5-83,Amraoui,2012
Romania,"Subways, Bucharest city",44.44,26.07,belowground,adult morphology,X,56,45,1,10,0.80,0.02,0.18,0.89,0.11,,yes across sites and years,S24,10.1089/vbz.2020.2739,Tiron,2021
Russia,Sankt-Petersburg,59.93,30.32,belowground,adult morphology + ACE + COI ,X,15,9,0,6,0.60,0.00,0.40,0.80,0.20,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
Russia,Moscow,55.75,37.62,belowground,adult morphology + ACE + COI ,X,20,18,0,2,0.90,0.00,0.10,0.95,0.05,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
Russia,Vologograd,48.70,44.51,belowground,adult morphology + ACE + COI ,X,8,5,0,3,0.62,0.00,0.38,0.81,0.19,,unknown,S11,10.1186/s13071-016-1333-8,Shaikevich,2016
Sweden,Gothenburg,57.70,11.97,belowground,adult morphology + ACE,X,11,11,0,0,1.00,0.00,0.00,1.00,0.00,,no,S14,10.1186/s13071-016-1925-3,Hesson,2016
The Netherlands,Amsterdam,52.36,4.90,belowground,adult morphology,X,29,18,2,9,0.62,0.07,0.31,0.78,0.23,,no,S4,10.1111/j.1948-7134.2010.00050.x,Reusken,2010
Tunisia,Cité nozha,36.87,10.21,belowground,adult morphology + ACE + cytb,X,20,9,1,10,0.45,0.05,0.50,0.70,0.30,,yes across years,S16,10.1186/s13071-017-2265-7,Beji,2017
Tunisia,"Cave 1, Tunis",36.80,10.18,belowground,adult morphology + ACE + cytb,,20,10,1,9,0.50,0.05,0.45,0.73,0.28,,yes across years,S16,10.1186/s13071-017-2265-7,Beji,2017
Tunisia,"Cave 2, Tunis",36.80,10.18,belowground,adult morphology + ACE + cytb,,20,11,1,8,0.55,0.05,0.40,0.75,0.25,,yes across years,S16,10.1186/s13071-017-2265-7,Beji,2017
Tunisia,Cité olympique,36.84,10.19,belowground,adult morphology + ACE + cytb,,20,8,2,10,0.40,0.10,0.50,0.65,0.35,,yes across years,S16,10.1186/s13071-017-2265-7,Beji,2017
UK,"Menstrie, Scotland",56.15,-3.85,belowground,adult morphology + ACE,X,8,8,0,0,1.00,0.00,0.00,1.00,0.00,,no,S21,10.4269/ajtmh.2006.75.2.0750251,Bahnck,2006
UK,"Barking, England",51.53,0.07,belowground,adult morphology + ACE,X,12,12,0,0,1.00,0.00,0.00,1.00,0.00,,no,S21,10.4269/ajtmh.2006.75.2.0750251,Bahnck,2006
